section,category,machine
RECEIVING AREA,ASP UNIT,ASP UNIT 1
RECEIVING AREA,ASP UNIT,ASP UNIT 2
RECEIVING AREA,ASP UNIT,ASP UNIT 3
RECEIVING AREA,ELEVATOR,RECIVING AREA ELEVATOR 1
RECEIVING AREA,ELEVATOR,RECIVING AREA ELEVATOR 2
RECEIVING AREA,ELEVATOR,RECIVING AREA DUMPING ELEVATOR 3
RECEIVING AREA,CLEANER,DRUM CLEANER
RECEIVING AREA,CLEANER,DECK CLEANER
RECEIVING AREA,BLOWER,BLOWER
RECEIVING AREA,CONVEYOR ,CHAIN CONVEYOR - CC1
RECEIVING AREA,CONVEYOR ,CHAIN CONVEYOR - CC2
RECEIVING AREA,CONVEYOR ,CHAIN CONVEYOR - CC3
RECEIVING AREA,CONVEYOR ,CHAIN CONVEYOR - CC4
RECEIVING AREA,CONVEYOR ,CHAIN CONVEYOR - CC5
RECEIVING AREA,CONVEYOR ,CHAIN CONVEYOR - CC6
RECEIVING AREA,CONVEYOR ,CHAIN CONVEYOR - CC7
RECEIVING AREA,CONVEYOR ,CHAIN CONVEYOR - CC8
RECEIVING AREA,SCREW FEEDER,SWEEP AUGER
RECEIVING AREA,BLOWER,BLOWER-1    350 A
RECEIVING AREA,BLOWER,BLOWER-2   350 A 
RECEIVING AREA,BLOWER,BLOWER-3  350 B
RECEIVING AREA,BLOWER,BLOWER-4  350 B
RECEIVING AREA,BLOWER,BLOWER-5  4000  
RECEIVING AREA,BLOWER,BLOWER-6  4000 
RECEIVING AREA,COMPRESSOR,COMPERSSER
INTAKE SECTION,ASP UNIT,ASP UNIT 1
INTAKE SECTION,ASP UNIT,ASP UNIT 2
INTAKE SECTION,ASP UNIT,ASP UNIT 3
INTAKE SECTION,CONVEYOR ,INTAKE CONVEYOR 1
INTAKE SECTION,ELEVATOR,INTAKE ELEVATOR
INTAKE SECTION,SLIDE GATE ,SLIDE GATE -1
INTAKE SECTION,SLIDE GATE ,SLIDE GATE -2
INTAKE SECTION,SLIDE GATE ,SLIDE GATE -3
INTAKE SECTION,SLIDE GATE ,SLIDE GATE -4
INTAKE SECTION,TWO WAY FLAP ,TWO WAY FLAP -1
INTAKE SECTION,TWO WAY FLAP ,TWO WAY FLAP -2
INTAKE SECTION,TWO WAY FLAP ,TWO WAY FLAP -3
INTAKE SECTION,TWO WAY FLAP ,TWO WAY FLAP -4
BATCHING SECTION,SCREW FEEDER,SCREW FEEDER 1
BATCHING SECTION,SCREW FEEDER,SCREW FEEDER 2
BATCHING SECTION,SCREW FEEDER,SCREW FEEDER 3
BATCHING SECTION,SCREW FEEDER,SCREW FEEDER 4
BATCHING SECTION,SCREW FEEDER,SCREW FEEDER 5
BATCHING SECTION,SCREW FEEDER,SCREW FEEDER 6
BATCHING SECTION,SCREW FEEDER,SCREW FEEDER 7
BATCHING SECTION,SCREW FEEDER,SCREW FEEDER 8
BATCHING SECTION,SLIDE GATE ,SLIDE GATE -1
BATCHING SECTION,SLIDE GATE ,SLIDE GATE -1
BATCHING SECTION,CONVEYOR,BATCH CONVEYOR
BATCHING SECTION,ELEVATOR,BATCH ELEVATOR
BATCHING SECTION,PUMP,OIL TRANSFER PUMP-1
BATCHING SECTION,PUMP,OIL TRANSFER PUMP-2
BATCHING SECTION,PUMP,OIL TRANSFER PUMP-3
BATCHING SECTION,CONE MIXER,MEDICINE MIXER
BATCHING SECTION,COMPRESSOR,COMPRESSOR-1
BATCHING SECTION,COMPRESSOR,COMPRESSOR-2
BATCHING SECTION,COMPRESSOR,COMPRESSOR-3
GRINDING SECTION,RV FEEDER,RV FEEDER 1
GRINDING SECTION,HAMMER MILL,HAMMER MILL 1
GRINDING SECTION,ASP UNIT,HAMMER MILL 1 ASP UNIT
GRINDING SECTION,SCREW FEEDER,HAMMER MILL 1 SCREW FEEDER
GRINDING SECTION,RV FEEDER,RV FEEDER 2
GRINDING SECTION,HAMMER MILL,HAMMER MILL 2
GRINDING SECTION,ASP UNIT,HAMMER MILL 2 ASP UNIT
GRINDING SECTION,SCREW FEEDER,HAMMER MILL 2 SCREW FEEDER
MIXING SECTION,SLIDE GATE  ,POWDER SLIDE GATE -1
MIXING SECTION,MIXER GATE ,MIXER  SLIDE GATE -1
MIXING SECTION,SLIDE GATE  ,POWDER SLIDE GATE -2
MIXING SECTION,MIXER GATE ,MIXER  SLIDE GATE -2
MIXING SECTION,MIXER,MIXER 1
MIXING SECTION,CONVEYOR,MIX FEED SCREW CONVEYOR 1
