id,category,code,name,stock,value
1,WORKSHOP MATERIAL AND TOOLS,MWMT0033,180X3X22.23 CUTTING WHEEL,4,202.96
2,WORKSHOP MATERIAL AND TOOLS,MWMT0108,BLACK WELDING GOGGLES,24,731.46
3,WORKSHOP MATERIAL AND TOOLS,MWMT0029,CUTTING NOZZLE 1 16 A16,3,761.1
4,WORKSHOP MATERIAL AND TOOLS,MWMT0051,GRINDING WHEEL 180 MM DC A24 TB,6,0
5,WORKSHOP MATERIAL AND TOOLS,MWMT0061,HEAVY DUTY WELDING SHEILD,1,221.84
6,WORKSHOP MATERIAL AND TOOLS,MWMT0080,RACHEAT SPANNER,2,1416
7,WORKSHOP MATERIAL AND TOOLS,MWMT0090,RUBBER DIAPHRAGM WASHER,2,377.6
8,BEARING,MSTR09989,BEARING 22217 EK,4,52788.48
9,BEARING,MACON5127,BEARING 6012 2RS1,3,4602
10,BEARING,MSTR08205,BEARING 6014 LECITHIN,2,4996.12
11,BEARING,MBRG0165,BEARING 6202 2RS,4,472
12,BEARING,MBRG0145,BEARING 6304 2RS,4,802.4
13,BEARING,MBRG0104,BEARING BLOCK NO SN 509,2,1604.8
14,BEARING,MBRG0116,BEARING BLOCK NO SN 510,4,3000
15,BEARING,MBRG0126,BEARING BLOCK NO SN 512,3,4124.1
16,BEARING,MBRG0120,BEARING BLOCK NO SN 515,8,13394.31
17,BEARING,MBRG0121,BEARING BLOCK NO SN 522,6,31553.2
18,BEARING,MBRG0118,BEARING BLOCK NO SN 530,1,0
19,BEARING,MBRG0005,BEARING NO 1215 K,3,5416.2
20,BEARING,MBRG0112,BEARING NO 22212,5,24190
21,BEARING,MBRG0013,BEARING NO 22218,2,21004
22,BEARING,MBRG0015,BEARING NO 22222 K,6,129384.64
23,BEARING,MBRG0052,BEARING NO 6011 ZZ C3,2,0
24,BEARING,MBRG0056,BEARING NO 6205 ZZ C3,48,11857.37
25,BEARING,MBRG0059,BEARING NO 6207 ZZ C3,2,0
26,BEARING,MBRG0064,BEARING NO 6304,2,356.36
27,BEARING,MBRG0065,BEARING NO 6305 ZZ,4,0
28,BEARING,MBRG0066,BEARING NO 6306 ZZ,2,0
29,BEARING,MBRG0069,BEARING NO 6309  ZZ,4,0
30,BEARING,MBRG0075,BEARING NO 6319 C3,1,15493.4
31,BEARING,MBRG0090,BEARING NO UCF 205,8,7287.68
32,BEARING,MBRG0092,BEARING NO UCF 209,4,0
33,BEARING,MBRG0094,BEARING NO UCF 212,6,9982.8
34,BEARING,MBRG0024,BEARING NO:-23036CC,1,57938
35,BEARING,MSTR08821,BEARING ROLLER 22213 EK SELF ALIGNING,1,5133
36,BEARING,MSTR08823,BEARING ROLLER 22215 EK SELF ALIGNING,1,7080
37,BEARING,MSTR08704,BEARING ROLLER 22220 EK SELF ALIGNING,2,0
38,BEARING,MBRG0158,BEARING UCF 207,7,7493
39,BEARING,MSTR05798,OIL SEAL 120 X  160 X  13 MM,12,1644.74
40,BEARING,MSTR05884,OIL SEAL 200 X  230 X  15 MM,2,2832
41,BEARING,MSTR04996,OIL SEAL 24 X  40 X  10 MM,3,0
42,BEARING,MSTR05228,OIL SEAL 35 X  52 X  7 MM,22,0
43,BEARING,MSTR05640,OIL SEAL 70 X  110 X  10 MM,10,7375
44,BEARING,MSTR08805,SELF ALIGNING ROLLER BEARING 22209 E,2,6844
45,CONTROL SYSTEMS,ECTR0047,DIGITAL WEIGHING SCALE 150 KG,1,4720
46,CONTROL SYSTEMS,ECTR0032,LOAD CELL BEAM TYPE BS 750 KG,4,21240
47,CONTROL SYSTEMS,ECTR0002,TEMPERATURE CONTROLLER 0 TO 400,1,1651.25
48,CONTROL SYSTEMS,ECTR0010,TIMER 230V,1,1829
49,STICHING M/C SPARES,ESTC0081,FEED DOG REVO STICHING MACHINE,6,2365.44
50,STICHING M/C SPARES,ESTC0062,LOOPER REVO,16,4748.8
